Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating,Model,Feature_Set
BNP.PA,90.33000183105469,0.009386568190155709,0.026293442069041873,72.19917178153992,60.0,52.85848252344415,25.61895255580766,33.843159797300345,62.53219981682901,"Volatility_30, Trend_x_Vol, RSI_x_Trend",54.2,Neutral,xgboost,interactions
SIE.DE,229.4499969482422,0.01190737353138771,0.031039911553117576,71.91645503044128,62.916666666666664,49.967948717948715,31.765567765567766,35.515432993693864,63.59118685799957,"Trend_x_Vol, Volatility_30, RSI_x_Trend",54.2,Neutral,xgboost,interactions
ITRK.L,3810.0,0.010610079575596787,0.038168117897692644,80.88323473930359,65.89473684210526,35.37327188940092,24.450885668276975,27.324667324667324,68.72099801702011,"Z_Score_20, Volatility_30, Trend_x_Vol",53.5,Neutral,xgboost,interactions
DSY.PA,16.815000534057617,-0.006499185108503114,0.017117042698030112,57.60970115661621,63.092783505154635,32.378571428571426,31.306508806508806,30.213193263083213,39.220463868882256,"RSI_x_Vol, RSI_x_Trend, Trend_MA50",53.3,Neutral,xgboost,interactions
INTU,350.94000244140625,-0.029721584581927973,0.030946273824283353,45.7509309053421,53.473684210526315,34.269468148491455,40.22702702702703,33.66018113604321,15.311669898535115,"RSI_14, Trend_x_Vol, RSI_x_Vol",52.6,Neutral,xgboost,interactions
AON,312.57000732421875,-0.03942835529476707,0.01760208629685717,63.641905784606934,62.10526315789474,37.8177483603039,32.18508694370763,34.17053703201711,40.03661738096324,"Trend_x_Vol, Trend_MA50, RSI_14",52.5,Neutral,xgboost,interactions
PUB.PA,73.5199966430664,0.02395534147914624,0.017439438657953672,69.6600615978241,62.47422680412372,29.24986661331199,34.49204690584001,30.45145588874402,56.68963376294695,"RSI_x_Trend, Z_Score_20, Volatility_30",52.2,Neutral,xgboost,interactions
CSCO,82.22000122070312,-0.011422351438705514,0.017332070910952204,75.71831345558167,55.368421052631575,44.53860342555994,18.88144563613431,24.297228812401407,62.85875227389918,"Volatility_30, RSI_x_Trend, Return_10d",51.1,Neutral,xgboost,interactions
NG.L,1347.5999755859375,-0.002221235046815817,0.018250534339379242,63.59519362449646,62.315789473684205,52.038277511961724,28.644702842377257,33.47390435453927,63.805696824164755,"Trend_x_Vol, Trend_MA50, RSI_14",50.9,Neutral,xgboost,interactions
MSFT,370.8699951171875,-0.005897049250381925,0.013083137599471207,52.35069990158081,56.63157894736842,33.17243867243867,43.523959866972085,35.81045668105146,39.487769055693406,"Volatility_30, Trend_MA50, RSI_x_Trend",50.9,Neutral,xgboost,interactions
IFX.DE,42.82500076293945,0.010261886755234206,0.04024995696598271,56.47149682044983,57.291666666666664,61.359380732262096,40.678906714200835,41.783738715427525,68.68882772438948,"RSI_x_Trend, Volatility_30, RSI_x_Vol",50.7,Neutral,xgboost,interactions
TSLA,348.95001220703125,0.009634908676839249,0.02379704390339246,48.29135239124298,60.421052631578945,50.89549961861174,37.931831761618994,42.095238095238095,41.9687501208712,"Volatility_30, Trend_MA50, RSI_x_Vol",50.4,Neutral,xgboost,interactions
META,629.8599853515625,0.00233926489737013,0.028444699532832532,57.68495798110962,55.1063829787234,41.99250714778665,34.57936409235998,36.78255994479904,58.65035445828687,"Z_Score_20, Trend_MA50, Momentum_x_Vol",50.1,Neutral,xgboost,interactions
WLN.PA,0.24709999561309814,-0.0202220922884071,0.15232754331033618,54.80523705482483,49.27835051546391,30.84197936174285,51.12061020181154,37.65622391670658,31.2704659193772,"Trend_MA50, RSI_x_Trend, Trend_x_Vol",50.1,Neutral,xgboost,interactions
QCOM,128.05999755859375,0.0024265953705968624,0.013519230727213212,56.87112212181091,57.684210526315795,41.510960906101566,29.8074178074178,32.92113583758188,44.77866051464309,"RSI_x_Trend, Trend_MA50, Trend_x_Vol",49.6,Below Average,xgboost,interactions
MRK.DE,111.8499984741211,0.004039469857077593,0.02542684734544828,61.75656318664551,64.58333333333334,31.840811965811962,23.62103174603174,25.966289908717943,58.85826984514127,"Trend_MA50, RSI_14, RSI_x_Trend",49.5,Below Average,xgboost,interactions
DTE.DE,30.989999771118164,-0.008954291095188971,0.016516424818028848,52.02348232269287,61.666666666666664,31.06277056277056,19.983164983164983,23.899204244031832,39.49272044684553,"Trend_x_Vol, Volatility_30, Momentum_x_Vol",49.5,Below Average,xgboost,interactions
CVS,79.33000183105469,0.006215189192348536,0.018687607528567664,80.82423210144043,56.0,43.37100326574011,28.317535596605364,32.52559496553851,77.85662265371818,"Trend_x_Vol, RSI_x_Vol, Volatility_30",49.3,Below Average,xgboost,interactions
AUTO.L,474.3999938964844,0.0010550749239073287,0.019149380465985844,65.73674082756042,56.0,29.53020892151327,32.15384615384615,25.135344822003326,47.0754659400796,"Trend_x_Vol, RSI_x_Trend, RSI_x_Vol",48.6,Below Average,xgboost,interactions
RWE.DE,59.040000915527344,0.002036706556540313,0.018353368503343345,34.53632891178131,60.416666666666664,75.53333333333333,21.80308205516346,25.13782904466134,55.031457763465326,"RSI_x_Vol, Trend_x_Vol, Momentum_20",48.6,Below Average,xgboost,interactions
CNA.L,211.39999389648438,-0.007977532418302458,0.017500018829665943,49.779126048088074,58.105263157894726,45.166666666666664,35.82563105315336,37.61260898725688,53.139530221085586,"Momentum_x_Vol, RSI_x_Trend, Trend_x_Vol",48.5,Below Average,xgboost,interactions
BMW.DE,83.83999633789062,0.017722737717281056,0.019749168208908534,77.77886986732483,62.5,38.684815184815186,34.73458807697938,34.423315935808006,78.71366831834129,"Volatility_30, Trend_x_Vol, RSI_x_Trend",48.4,Below Average,xgboost,interactions
INF.L,787.7999877929688,0.01730367117310605,0.021687719844092446,54.77489233016968,64.0,54.748010610079575,30.794310794310793,33.46963547816004,62.27223440635472,"Trend_MA50, Z_Score_20, RSI_x_Trend",48.4,Below Average,xgboost,interactions
LLY,939.469970703125,-0.016457491910616517,0.02079635646740389,48.70370328426361,55.1578947368421,45.94378562613856,38.02380977293869,40.086736072966744,57.790128805556044,"Momentum_x_Vol, Momentum_20, RSI_x_Vol",48.0,Below Average,xgboost,interactions
BATS.L,4351.0,0.0034594095940958525,0.01616113349361976,52.01420187950134,58.315789473684205,47.77777777777778,15.6606398940495,23.040502198893456,49.65635738831615,"Momentum_x_Vol, Trend_x_Vol, RSI_14",47.9,Below Average,xgboost,interactions
GS,907.7999877929688,0.004514691743139565,0.023989762309126028,78.28810214996338,56.421052631578945,41.95380049038585,27.414716697108723,31.6652585765489,76.18174057528265,"Trend_x_Vol, RSI_x_Trend, Volatility_30",47.8,Below Average,xgboost,interactions
SPGI,415.4200134277344,-0.020974721301991295,0.015959844021254964,62.89164423942566,57.473684210526315,28.825513196480937,25.534350798507397,26.151140467502096,45.293080243337286,"Volatility_30, Trend_x_Vol, Trend_MA50",47.8,Below Average,xgboost,interactions
JNJ,238.4600067138672,-0.01181049634727438,0.009844453630886952,52.53109931945801,63.999999999999986,49.6,8.03872053872054,9.857597333737312,56.857563343070176,"Momentum_20, RSI_14, Trend_x_Vol",47.7,Below Average,xgboost,interactions
IAG.L,388.3999938964844,0.0020639519617424718,0.03415418262050608,81.28840923309326,52.21052631578948,42.924509803921566,20.629550777091758,26.35008424530925,71.72480205989444,"Return_5d, Volatility_30, Return_10d",47.6,Below Average,xgboost,interactions
SAN.PA,80.19000244140625,-0.00902120296660136,0.012777371107376053,63.30757141113281,62.06185567010309,27.734989648033128,17.283761989644344,18.932371285312463,59.23914658477035,"Trend_MA50, Z_Score_20, Volatility_30",47.5,Below Average,xgboost,interactions
DG.PA,135.64999389648438,-0.009130752781078888,0.017240014712722223,59.17699933052063,61.23711340206186,44.48966087675765,35.44011379800853,36.5151339888182,68.41083030548023,"Trend_x_Vol, Volatility_30, Momentum_20",47.5,Below Average,xgboost,interactions
ALV.DE,377.29998779296875,-0.002643404790558135,0.015951002915738866,70.94799876213074,63.75,45.12452732452732,26.30478750640041,32.61997054177484,76.83741118290035,"Momentum_x_Vol, Volatility_30, RSI_x_Trend",47.3,Below Average,xgboost,interactions
LGEN.L,259.54998779296875,-0.0019227072619517616,0.022316651510671085,78.87495160102844,65.89473684210525,32.21153846153846,33.561904761904756,28.49347968852613,71.39506902950833,"Trend_MA50, Volatility_30, RSI_x_Trend",47.1,Below Average,xgboost,interactions
ADS.DE,137.8000030517578,0.005839438333998581,0.021470372365032075,64.47277069091797,57.291666666666664,25.47584136293814,20.24175824175824,22.503081232492995,59.266807507447595,"RSI_14, Volatility_30, Momentum_20",47.0,Below Average,xgboost,interactions
FME.DE,40.34000015258789,0.007492488266757524,0.01288802650046615,63.64877223968506,61.25,40.26616150185944,20.499641093417374,26.779739273120974,68.71612122616844,"RSI_x_Trend, Volatility_30, Z_Score_20",46.8,Below Average,xgboost,interactions
HEN3.DE,66.69999694824219,-0.006553506782934093,0.016615404380591968,47.07874655723572,66.66666666666667,39.79028749028749,33.08058608058608,31.008631008631006,52.05480287200354,"Volume_MA_Ratio, RSI_x_Trend, Volatility_30",46.8,Below Average,xgboost,interactions
BLK,999.3099975585938,-0.0023062614263441583,0.022221780353233075,59.074997901916504,61.473684210526315,46.581196581196586,18.000233167916093,24.630619158899908,62.481920208220316,"Trend_x_Vol, Return_10d, RSI_x_Vol",46.3,Below Average,xgboost,interactions
DHR,189.61000061035156,-0.0175138856241559,0.018148909488264368,51.6775906085968,59.578947368421055,35.196078431372555,32.58828100004571,32.624354326552854,50.37571437328532,"Trend_x_Vol, Trend_MA50, Z_Score_20",46.3,Below Average,xgboost,interactions
ORCL,138.08999633789062,0.0016683282063019167,0.028993082708486162,39.224815368652344,54.73684210526316,37.732786137710896,33.6993006993007,34.98974011130623,35.958334319281605,"Momentum_x_Vol, Volatility_30, Trend_x_Vol",46.3,Below Average,xgboost,interactions
ENT.L,534.2000122070312,-0.0018684603460232818,0.03227089943721031,55.83999752998352,56.8421052631579,35.61242678889737,18.424580259425994,21.933014354066984,49.2693531246975,"Trend_MA50, Volatility_30, Return_10d",45.9,Below Average,xgboost,interactions
JD.L,75.18000030517578,0.008585985803430729,0.02611949278961617,60.270607471466064,57.684210526315795,40.979702025737836,30.103429179516137,31.932730181982425,69.45338606584423,"Momentum_x_Vol, Return_5d, RSI_x_Vol",45.7,Below Average,xgboost,interactions
ICE,160.60000610351562,-0.008458326275621375,0.015778646144069,54.66570258140564,60.421052631578945,33.19967025849378,19.803059685412627,22.046017917570943,53.5844340982734,"Volatility_30, Trend_x_Vol, Return_10d",45.6,Below Average,xgboost,interactions
VOW3.DE,89.04000091552734,-0.0015698518633029401,0.021395523434800893,63.33164572715759,59.16666666666667,34.6460675941808,34.16943187531423,28.486622515479343,60.7969082345419,"Trend_MA50, Volatility_30, RSI_14",45.1,Below Average,xgboost,interactions
EXPN.L,2568.5,-0.00849256900212314,0.019397869150302463,41.67238473892212,66.73684210526315,36.59370126428949,45.19551820728291,39.403956319369854,41.9063270336894,"Trend_x_Vol, RSI_x_Vol, Volatility_30",45.1,Below Average,xgboost,interactions
BT-A.L,215.85000610351562,0.0018566217727518097,0.020421065759682732,45.32288908958435,56.421052631578945,46.08571428571429,21.627574750830565,26.785519949606634,48.25870752517471,"RSI_x_Vol, Trend_x_Vol, Momentum_20",45.0,Below Average,xgboost,interactions
IMB.L,3084.0,0.00048661800486615725,0.01483603833279902,44.35168206691742,56.8421052631579,50.24021871847959,19.814407814407815,21.960030411643316,49.18478260869565,"Trend_MA50, Trend_x_Vol, Volatility_30",45.0,Below Average,xgboost,interactions
ACA.PA,17.174999237060547,-0.0014535770215067245,0.020551190465387746,57.34335780143738,59.79381443298969,41.90530405710671,27.802330699633973,30.11819257213683,64.15383902104361,"Trend_x_Vol, Trend_MA50, Momentum_x_Vol",44.9,Below Average,xgboost,interactions
LLOY.L,100.9000015258789,0.0027827347610203113,0.025527373342088724,59.62207317352295,56.0,40.15757575757575,25.588819701128266,30.65414917562602,63.80014506746,"Volatility_30, RSI_x_Vol, Trend_MA50",44.7,Below Average,xgboost,interactions
