Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating
SLB,53.31999969482422,-0.04887623281030151,0.02479941629550562,50.188034772872925,58.105263157894726,47.713509316770185,23.177853884800708,30.26710639427522,47.94685867926684,"Volatility_30, Trend_MA50, Z_Score_20",48.2,Below Average
EOG,148.5399932861328,0.00800755069824799,0.020561518609341935,38.91899585723877,54.73684210526316,39.601029601029595,21.684237331296153,25.844932844932845,45.780665218148926,"Trend_MA50, Return_10d, Volatility_30",40.3,Below Average
MPC,396.45001220703125,0.0013134128276961476,0.023037883062287212,38.886845111846924,53.894736842105274,50.55238095238095,21.368961021100944,28.855609062371474,76.82216566348625,"Volatility_30, Momentum_20, Z_Score_20",33.3,Below Average
PSX,257.05999755859375,-0.009288178405099878,0.018421598342133524,62.16810345649719,56.421052631578945,65.1150954308849,12.638125520478463,19.477452334899148,67.8571389903716,"Volatility_30, Momentum_20, RSI_14",50.4,Neutral
VLO,382.95001220703125,-0.019133243593532634,0.01875040994798264,70.18322944641113,54.94736842105262,62.93719806763285,15.018850209446772,22.12620509942482,75.31167711513552,"Momentum_20, Return_10d, Z_Score_20",48.1,Below Average
OXY,61.779998779296875,0.0052066335761640214,0.01741666513776869,57.191067934036255,54.526315789473685,44.908424908424905,20.52631578947368,22.364041045447852,61.422699908989955,"Trend_MA50, Volatility_30, Momentum_20",43.4,Below Average
KMI,30.959999084472656,0.003240391190645342,0.015047846370019914,57.43258595466614,61.47368421052632,37.06320949432405,23.79651375322107,28.296119085592768,49.5967648900121,"Trend_MA50, Return_10d, Volatility_30",48.8,Below Average
CAT,784.0,-0.04223219396618605,0.02127350075449916,46.54702544212341,54.526315789473685,46.38876191719994,32.04719301862159,34.98042533493328,41.692282516741315,"Volatility_30, Trend_MA50, Return_10d",46.4,Below Average
DE,681.4600219726562,0.00846484124211333,0.021896629445409536,9.137893468141556,65.68421052631578,69.44126984126984,18.182545229602493,25.79025453777431,61.78371055518472,"Volatility_30, RSI_14, Momentum_20",33.0,Below Average
GE,317.55999755859375,-0.018846956789519864,0.018708211751860545,56.598180532455444,47.1578947368421,34.67383512544802,25.817235122459813,26.94981909228312,31.213255070086035,"Volatility_30, RSI_14, Momentum_20",49.8,Below Average
HON,201.3800048828125,-0.0048428331912593325,0.016532512025240913,76.61879062652588,58.105263157894726,21.386363636363637,13.168793925372873,14.689477189477188,29.48206612393433,"Volatility_30, Trend_MA50, Momentum_20",59.8,Neutral
BA,210.27000427246094,-0.0008552752596404645,0.02063863715708776,47.95551598072052,55.78947368421052,38.34615384615385,13.212381394544902,18.732473384661148,49.65985911414771,"Volatility_30, RSI_14, Return_10d",42.7,Below Average
MMM,162.02000427246094,-0.017882020527450693,0.010411478631419533,72.23913669586182,62.73684210526316,39.995559995559994,20.584463051568314,26.728334189351138,14.141012065327445,"Volatility_30, Trend_MA50, Return_10d",65.5,Above Average
