Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating,Model
FRE.DE,44.31999969482422,0.013723660964514606,0.01618021182450301,51.14607214927673,61.64948453608247,48.69477382520861,32.90901360544217,36.19254612102081,23.252658883102455,"Return_10d, Trend_MA50, RSI_x_Trend",60.4,Above Average,xgboost
MA,484.239990234375,-0.03297056368572138,0.017210270657882644,68.68771314620972,61.26315789473684,40.66550116550117,40.1321303459349,36.26493908950049,30.833541232960087,"Trend_x_Vol, Trend_MA50, RSI_x_Trend",60.3,Above Average,xgboost
RMV.L,414.8999938964844,0.004357268860745833,0.020763800707236744,68.63434314727783,61.666666666666664,27.657731284733575,33.234848484848484,23.785514721684933,24.14663571438767,"RSI_x_Trend, Trend_MA50, Trend_x_Vol",60.3,Above Average,xgboost
GLE.PA,61.15999984741211,-0.017983284422559698,0.02909919808737962,66.50543808937073,51.95876288659794,55.39751552795032,23.959421338745607,29.41161616161616,34.31541444108133,"Trend_x_Vol, Volatility_30, Trend_MA50",60.3,Above Average,xgboost
JBHT,205.58999633789062,-0.0028615596025284296,0.021892324703372826,65.43054580688477,64.42105263157895,48.018843901196846,22.46341463414634,28.57529568549059,35.26929341887946,"Momentum_20, RSI_x_Trend, Trend_x_Vol",60.3,Above Average,xgboost
UNH,259.0199890136719,-0.03368774180385825,0.01785956872941184,53.164929151535034,56.84210526315788,45.62946510920666,48.67424242424242,41.86010746670729,27.64575013487412,"Trend_x_Vol, Z_Score_20, Volatility_30",60.3,Above Average,xgboost
RIO.L,6790.0,0.03743315508021383,0.023746107719404264,82.89671540260315,61.26315789473686,46.753246753246756,15.19991015274034,20.13843833903417,48.559166155732676,"Volatility_30, Momentum_x_Vol, Momentum_20",60.1,Above Average,xgboost
FRAS.L,619.5,-0.012749003984063756,0.01814185199479188,69.86917853355408,58.54166666666667,28.021401985111662,30.471360958176376,22.731496439035674,29.032258064516128,"Trend_MA50, Trend_x_Vol, Volatility_30",60.1,Above Average,xgboost
SIKA.SW,130.0500030517578,0.012062280558426508,0.021495630681015294,77.41746306419373,59.578947368421055,31.902218442819112,31.975412293853072,27.487390633041684,32.584280945956934,"Trend_x_Vol, Momentum_x_Vol, RSI_x_Trend",60.0,Above Average,xgboost
RMD,220.47000122070312,-0.009123590019311845,0.015086226324705375,67.8475558757782,59.789473684210535,31.81072351421189,17.826078574362327,19.95084223635053,11.937144071793625,"Volatility_30, Trend_MA50, Trend_x_Vol",60.0,Above Average,xgboost
