Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating,Model
JMG.L,140.60000610351562,-0.009859111947073118,0.016267803558109074,92.24515167179592,71.45833333333334,46.095454545454544,24.93278651173388,30.732315575958147,47.36843011009284,"Volatility_30, Trend_MA50, Momentum_20",67.3,Above Average,catboost
PINS,17.760000228881836,-0.011135794308794189,0.04568535778621161,71.62193765570936,56.8421052631579,42.52119309262166,49.13321607712852,42.545971092113845,28.37528773910607,"Volatility_30, Trend_MA50, RSI_14",67.0,Above Average,catboost
WLN.PA,0.2619999945163727,-0.10304695829613575,0.1494626859968243,92.92407462082915,52.371134020618555,34.174625660411465,44.794670846394986,38.326644579029946,34.16821208862096,"Volatility_30, Trend_MA50, Z_Score_20",66.9,Above Average,catboost
ZS,133.16000366210938,-0.05893990344799027,0.04379664988150626,80.2404603716012,51.78947368421052,38.93632811976465,37.262089675882784,31.619729063845533,15.918543007077943,"Volatility_30, Trend_MA50, Momentum_20",66.9,Above Average,catboost
EL,67.2300033569336,-0.03612898412998433,0.03568118326712305,80.74512526114738,53.05263157894736,36.363458273475246,29.518822897035864,32.1443477600451,19.631756676633643,"Volatility_30, Trend_MA50, Return_10d",66.8,Above Average,catboost
PANW,147.02000427246094,-0.059733923646916987,0.026227271441877746,71.3139367237917,54.94736842105262,45.27017486694906,41.57277525698578,39.78548759498631,27.34336130012501,"Volatility_30, Trend_MA50, Momentum_20",66.8,Above Average,catboost
SNOW,152.8000030517578,-0.05870756281525358,0.0356102673883383,68.32167358186345,57.473684210526315,48.39675626654294,36.62564102564103,39.1219462896098,25.608958038310533,"Volatility_30, Trend_MA50, RSI_14",66.8,Above Average,catboost
KMB,98.66000366210938,-0.0019220517445072138,0.014299923368023715,89.22433585830196,64.21052631578947,35.318401405357925,29.336844233395958,29.107883084459935,33.747119742364546,"Volatility_30, Trend_MA50, Momentum_20",66.7,Above Average,catboost
EMR,125.4000015258789,-0.007204465602912435,0.01988584152947957,87.44367199918818,57.05263157894736,29.097261434217955,16.683982683982684,20.343604108309993,15.826089552535862,"Trend_MA50, Volatility_30, Momentum_20",66.7,Above Average,catboost
AZO,3316.7099609375,-0.023339431870539884,0.021273869321097896,86.18877250312897,55.57894736842106,27.927170868347343,30.136490960020375,27.21272965358518,24.703312565820184,"Volatility_30, Trend_MA50, Return_10d",66.7,Above Average,catboost
HD,321.6499938964844,-0.020643665105184006,0.015699028817766126,78.69662133185487,61.684210526315795,34.037766830870275,27.273152572065612,29.055691847054185,27.177798604948208,"Volatility_30, Trend_MA50, Momentum_20",66.7,Above Average,catboost
XPS.L,283.0,-0.01906412478336217,0.01356649681018287,75.87146392466101,64.375,37.130325814536334,24.09631544925663,27.560377129294796,28.57142857142857,"Volatility_30, Trend_MA50, Momentum_20",66.6,Above Average,catboost
ORLY,90.11000061035156,-0.02340951675841596,0.01683555758188806,92.62383703349705,59.36842105263158,31.750681379164355,31.65634771732333,29.27147555718984,36.313857942790634,"Volatility_30, Trend_MA50, Return_10d",66.3,Above Average,catboost
HAS.L,33.119998931884766,-0.011343315466126436,0.027513724710080678,94.24284899727587,57.91666666666667,28.97901262841065,37.02547211242863,30.576837378307964,30.040304283690475,"Volatility_30, Trend_MA50, RSI_14",66.1,Above Average,catboost
KGX.DE,44.68000030517578,-0.0066696140532159776,0.03498441723456361,87.40287840946134,56.082474226804116,45.63572267920094,19.6734693877551,23.347705609540792,38.007157337841775,"Volatility_30, Trend_MA50, Return_10d",66.1,Above Average,catboost
DIS,92.41999816894531,-0.024591048348862166,0.011508322142957161,88.52800104535008,66.73684210526316,19.70852108959526,14.184950868219142,15.518805518805518,14.840200942002724,"Volatility_30, Trend_MA50, Momentum_20",66.0,Above Average,catboost
CPG.L,2038.0,-0.022541966426858462,0.018928179995310435,86.07803618100797,62.708333333333336,21.840525066331516,26.248196248196244,22.760882528324387,23.194748358862142,"Volatility_30, Trend_MA50, RSI_14",65.8,Above Average,catboost
ROKU,87.1500015258789,-0.02111644703128024,0.03520480116202213,79.81066864839423,52.631578947368425,54.37671957671957,25.81531767246053,30.719506935143357,30.236796154080437,"Volatility_30, Trend_MA50, Momentum_20",65.7,Above Average,catboost
CARL-B.CO,796.5999755859375,-0.007475704189524479,0.01389898993888445,88.35705511699504,60.421052631578945,21.31623931623932,19.058441558441558,18.95380599174097,18.16167897396035,"Volatility_30, Trend_MA50, Momentum_20",65.6,Above Average,catboost
