Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating,Model
AMP,436.80999755859375,-0.02530401984231645,0.016829640654685663,78.8802241587151,50.526315789473685,36.023108677630475,36.08459768346698,32.576806688208436,31.57578777081224,"Volatility_30, Trend_x_Vol, Return_10d",60.5,Above Average,lightgbm
SIE.DE,204.8000030517578,-0.0004879982806493821,0.024041185302902387,54.36784452421397,60.20618556701031,46.22731070099491,29.329607174434763,33.657228287209314,21.301169370604697,"Volatility_30, RSI_14, Return_10d",60.4,Above Average,lightgbm
AHT.L,53.720001220703125,-0.9899999997727656,0.18252844550054606,50.88282714507054,60.21276595744681,45.94832826747721,47.88500388500388,43.607131985214174,9.524931756257828,"Volatility_30, Return_5d, Volume_MA_Ratio",60.4,Above Average,lightgbm
GIS,36.45000076293945,0.011937820647170527,0.018298786248641712,76.10505572946832,64.21052631578947,17.18478260869565,19.887106357694595,17.87882943840635,9.165711498816378,"Volatility_30, Momentum_20, Return_5d",60.3,Above Average,lightgbm
SOLB.BR,26.440000534057617,-0.005267095186241022,0.02045731352987509,84.51937525685092,59.587628865979376,35.284296348812475,37.147186147186154,36.086665735046,55.85284590290261,"Volatility_30, Return_10d, Trend_MA50",60.0,Above Average,lightgbm
SWED-A.ST,317.0,0.029555070749936574,0.01820632512604336,75.45198989901914,55.1578947368421,34.889265547160285,32.49948759991802,32.79685143677447,34.36576989381862,"Return_5d, Volatility_30, RSI_14",59.9,Neutral,lightgbm
KSS,12.345000267028809,-0.009229516112847946,0.03193371952417764,70.30730639424515,54.10526315789474,42.77821058308864,37.36102639753755,35.048131706805556,32.68783878158963,"Volatility_30, Return_10d, RSI_14",59.9,Neutral,lightgbm
CRH.L,7764.0,0.014371570420695035,0.019957712865886656,73.06897797606601,61.875,45.68693693693694,44.46560196560197,44.38877794258116,44.93801652892562,"Volatility_30, Volume_MA_Ratio, Momentum_20",59.7,Neutral,lightgbm
PINS,17.84000015258789,0.004504500150622537,0.032884447866148865,66.66105240220695,56.21052631578948,41.159571885531506,51.337424773129285,43.37553688141924,31.654668361477775,"Volatility_30, Return_10d, Volume_MA_Ratio",59.7,Neutral,lightgbm
FTNT,78.19999694824219,-0.03492535941858799,0.021931657277355045,65.52706151812156,61.684210526315795,47.07142857142857,23.080045649567342,29.100273964431494,34.25039025217744,"Volatility_30, RSI_x_VoL, Z_Score_20",59.7,Neutral,lightgbm
QTX.L,210.1199951171875,-0.07842107404742327,0.03796891213493647,58.469732304046055,60.0,43.33333333333333,20.59549770569261,22.928164976682496,28.02690473374342,"Volatility_30, Momentum_20, RSI_x_VoL",59.7,Neutral,lightgbm
HUBS,231.65499877929688,0.003748019924293855,0.04122135318901482,51.86772073532251,56.8421052631579,44.524991361883664,45.16796296682445,42.83357488962552,25.354976581170376,"Volatility_30, Return_10d, Trend_x_Vol",59.7,Neutral,lightgbm
AZN.L,14644.0,0.023912739476996236,0.014962069119567755,78.5078826668539,65.0,41.6540404040404,26.506155518054832,31.03300062488389,49.77698483496877,"Volatility_30, Z_Score_20, Volume_MA_Ratio",59.5,Neutral,lightgbm
TWLO,120.62999725341797,0.0053337728230902215,0.023170634625499665,77.60742150638372,56.210526315789465,50.92773892773893,23.86301960907413,30.066899979543656,41.87048788105158,"Volatility_30, Trend_MA50, Return_10d",59.5,Neutral,lightgbm
ADS.DE,131.89999389648438,-0.0011360026641925591,0.018445482377599114,68.861162894823,57.113402061855666,29.18518518518518,19.04871042935559,21.265452017331715,26.253002588526286,"Volatility_30, Return_10d, Volume_MA_Ratio",59.5,Neutral,lightgbm
WTB.L,2255.0,-0.0022123893805309214,0.014027859370975051,67.79795163990731,57.91666666666667,27.977726574500764,24.404764426316152,25.423945988651873,23.243243243243242,"Volatility_30, Return_5d, RSI_x_VoL",59.5,Neutral,lightgbm
LR.PA,130.35000610351562,0.01164144298755354,0.02101157265051221,82.68024475367561,55.25773195876288,25.173160173160177,29.172546079901224,26.673839821380806,35.373152547807834,"Volatility_30, RSI_x_VoL, RSI_x_Trend",59.4,Neutral,lightgbm
SHOP,111.8499984741211,-0.031014483423631778,0.03492606992446314,41.5300121205713,59.78947368421052,54.52948940811986,43.70629370629371,48.06609775653854,25.85322668180632,"Volatility_30, Return_10d, Trend_MA50",59.4,Neutral,lightgbm
TECH,51.13999938964844,0.00372911921224528,0.025025452639367143,83.7869090311762,55.368421052631575,36.513483642793986,40.750985257626624,37.37742712594481,43.092101754573086,"Volatility_30, Return_5d, RSI_x_VoL",59.3,Neutral,lightgbm
NVR,6450.759765625,-0.012168111733526166,0.01889742904351072,78.4090613725837,60.210526315789465,29.295168067226893,24.222229544568375,23.923172256772897,31.903123215768233,"Volatility_30, Return_10d, Return_5d",59.3,Neutral,lightgbm
BIIB,186.16000366210938,0.012619709369198873,0.01755876301800538,73.98121134586711,63.578947368421055,46.746147288346776,31.61743368462293,35.461694297598925,47.181155707807946,"Volatility_30, Return_5d, RSI_x_VoL",59.3,Neutral,lightgbm
EXPD,141.22000122070312,-0.01009394647722639,0.022806405838374972,93.84599625855911,50.73684210526316,30.72676693794706,24.69661471209459,25.84969600479236,40.92960099264673,"Return_10d, Volatility_30, RSI_x_VoL",59.2,Neutral,lightgbm
DGE.L,1402.5,0.0,0.02991171648295281,59.21561315502773,65.68421052631578,34.473304473304474,21.558426955011395,23.566534223907667,26.54205607476635,"Volatility_30, Return_10d, Return_5d",59.0,Neutral,lightgbm
RR.L,1108.5,0.0,0.028060082618166695,49.63717370891441,56.8421052631579,48.343837535014,31.534402744148508,37.70854833600703,23.598435462842247,"Return_5d, Volatility_30, RSI_x_VoL",59.0,Neutral,lightgbm
ITRK.L,3624.0,0.0011049723756906271,0.03761936370615114,74.71829409306093,63.33333333333333,31.533402132782935,20.34065934065934,23.31845434591184,32.077918781217235,"Volatility_30, RSI_14, Return_10d",58.9,Neutral,lightgbm
RIO.L,6791.0,0.03758594346829636,0.023754708204006273,74.7078412125816,62.526315789473685,47.34784823020117,26.26291554357592,31.058109626787417,48.59068627450981,"Volatility_30, Return_10d, Momentum_x_Vol",58.9,Neutral,lightgbm
GRG.L,1482.8199462890625,0.0019053691142314477,0.013362793342422694,68.58349592114699,53.75,25.914964245272774,38.05820105820106,28.20978120978121,15.869822404896922,"Volatility_30, Return_5d, RSI_14",58.9,Neutral,lightgbm
MC.PA,458.8500061035156,0.006801988159112815,0.018047013265223264,60.41234528960005,60.0,32.0573476702509,36.79313222170365,31.31760837984556,22.483421354215523,"Volatility_30, RSI_14, Z_Score_20",58.9,Neutral,lightgbm
ROST,211.69000244140625,-0.012179190728808353,0.017858364951965647,69.89439426497687,60.0,51.25251653724475,37.95763168933901,39.36018614509181,49.0966386302805,"Volatility_30, Return_10d, Z_Score_20",58.7,Neutral,lightgbm
ITW,259.0400085449219,-0.008914514350512825,0.010637327940213378,66.64448839332742,58.526315789473685,26.378542510121456,24.991789819376027,25.182046024151283,28.672234830661807,"Volatility_30, Return_5d, RSI_x_VoL",58.7,Neutral,lightgbm
RTX,189.7100067138672,-0.016282080841433788,0.01677346961609558,56.889365470109546,58.73684210526316,42.16025804261098,17.16897326404966,23.420700929944626,18.652669618560978,"Volatility_30, Return_5d, RSI_x_VoL",58.6,Neutral,lightgbm
